date,state,city,avg_temperature,rainfall,humidity,wind_speed,cloud_cover,aqi,year,month,week,season,stress_level
2024-01-03,Telangana,Hyderabad,26.5,0.0,85.3,23.5,59.2,70,2024,1,1,winter,Severe Stress
2024-01-03,Gujarat,Ahmedabad,29.8,5.2,39.1,18.0,39.2,131,2024,1,1,winter,Healthy
2024-01-03,Rajasthan,Jaipur,34.6,0.0,86.4,20.4,71.7,286,2024,1,1,winter,Severe Stress
2024-01-03,Uttar Pradesh,Lucknow,38.6,0.0,54.4,12.7,32.2,223,2024,1,1,winter,Severe Stress
2024-01-03,Madhya Pradesh,Bhopal,22.9,0.0,83.5,19.7,64.2,66,2024,1,1,winter,Healthy
2024-01-04,Maharashtra,Mumbai,20.9,15.75,65.1,13.9,80.5,123,2024,1,1,winter,Healthy
2024-01-04,Delhi,Delhi,30.9,9.6,31.6,11.4,19.9,117,2024,1,1,winter,Healthy
2024-01-04,Karnataka,Bengaluru,29.9,2.9,72.9,14.8,44.9,116,2024,1,1,winter,Healthy
2024-01-04,Tamil Nadu,Chennai,25.8,0.0,30.9,21.7,50.0,70,2024,1,1,winter,Mild Stress
2024-01-04,West Bengal,Kolkata,30.0,4.4,41.3,16.6,40.6,234,2024,1,1,winter,Healthy
2024-01-04,Telangana,Hyderabad,28.3,1.7,72.8,2.6,94.3,218,2024,1,1,winter,Healthy
2024-01-04,Gujarat,Ahmedabad,27.0,0.0,59.8,24.1,23.6,61,2024,1,1,winter,Mild Stress
2024-01-04,Rajasthan,Jaipur,24.4,0.0,36.1,21.4,82.4,127,2024,1,1,winter,Mild Stress
2024-01-04,Uttar Pradesh,Lucknow,21.4,8.8,70.9,8.5,76.3,290,2024,1,1,winter,Healthy
2024-01-04,Madhya Pradesh,Bhopal,40.2,15.75,54.2,21.7,76.3,273,2024,1,1,winter,Mild Stress
2024-01-05,Maharashtra,Mumbai,20.0,15.75,62.8,11.0,91.0,68,2024,1,1,winter,Healthy
2024-01-05,Delhi,Delhi,24.1,0.0,91.8,8.7,68.9,273,2024,1,1,winter,Severe Stress
2024-01-05,Karnataka,Bengaluru,34.4,0.0,35.9,12.2,38.3,76,2024,1,1,winter,Mild Stress
2024-01-05,Tamil Nadu,Chennai,21.6,1.1,70.2,3.7,72.1,65,2024,1,1,winter,Healthy
2024-01-05,West Bengal,Kolkata,19.3,15.75,54.3,24.7,40.7,65,2024,1,1,winter,Healthy
2024-01-05,Telangana,Hyderabad,35.3,0.0,57.6,2.3,10.3,76,2024,1,1,winter,Severe Stress
2024-01-05,Gujarat,Ahmedabad,21.6,0.0,78.5,8.6,26.2,338,2024,1,1,winter,Mild Stress
2024-01-05,Rajasthan,Jaipur,17.9,15.75,32.8,3.7,97.1,202,2024,1,1,winter,Healthy
2024-01-05,Uttar Pradesh,Lucknow,31.6,15.75,59.5,3.0,95.3,315,2024,1,1,winter,Healthy
2024-01-05,Madhya Pradesh,Bhopal,28.5,0.0,48.0,15.4,97.6,345,2024,1,1,winter,Mild Stress
2024-01-06,Maharashtra,Mumbai,33.8,0.0,50.1,23.0,95.2,264,2024,1,1,winter,Severe Stress
2024-01-06,Delhi,Delhi,32.7,0.0,90.6,10.7,98.8,86,2024,1,1,winter,Severe Stress
2024-01-06,Karnataka,Bengaluru,32.5,0.0,93.0,11.5,10.4,308,2024,1,1,winter,Severe Stress
2024-01-06,Tamil Nadu,Chennai,33.8,15.75,94.8,21.5,47.8,80,2024,1,1,winter,Mild Stress
2024-01-06,West Bengal,Kolkata,38.6,0.0,44.9,4.6,54.4,279,2024,1,1,winter,Severe Stress
2024-01-06,Telangana,Hyderabad,28.6,0.0,65.9,5.1,76.7,232,2024,1,1,winter,Mild Stress
2024-01-06,Gujarat,Ahmedabad,35.5,0.0,38.9,11.0,90.9,147,2024,1,1,winter,Mild Stress
2024-01-06,Rajasthan,Jaipur,28.9,15.75,55.8,5.4,51.8,120,2024,1,1,winter,Healthy
2024-01-06,Uttar Pradesh,Lucknow,26.8,0.0,62.0,3.7,17.2,87,2024,1,1,winter,Mild Stress
2024-01-06,Madhya Pradesh,Bhopal,22.1,0.0,41.8,17.4,23.3,52,2024,1,1,winter,Healthy
2024-01-07,Maharashtra,Mumbai,24.5,0.0,41.5,6.7,52.8,254,2024,1,1,winter,Mild Stress
2024-01-07,Delhi,Delhi,19.3,15.75,70.8,3.4,81.6,271,2024,1,1,winter,Healthy
2024-01-07,Karnataka,Bengaluru,25.1,0.0,54.1,12.6,8.5,118,2024,1,1,winter,Mild Stress
2024-01-07,Tamil Nadu,Chennai,32.3,0.0,63.3,14.3,30.6,156,2024,1,1,winter,Mild Stress
2024-01-07,West Bengal,Kolkata,21.3,15.75,43.7,15.7,80.0,194,2024,1,1,winter,Healthy
2024-01-07,Telangana,Hyderabad,21.6,0.0,68.1,8.5,66.4,216,2024,1,1,winter,Mild Stress
2024-01-07,Gujarat,Ahmedabad,24.7,0.0,69.4,7.7,22.7,128,2024,1,1,winter,Healthy
2024-01-07,Rajasthan,Jaipur,21.5,15.75,35.2,4.6,97.1,308,2024,1,1,winter,Healthy
2024-01-07,Uttar Pradesh,Lucknow,37.6,0.0,41.1,15.1,78.1,97,2024,1,1,winter,Mild Stress
2024-01-07,Madhya Pradesh,Bhopal,26.8,2.5,63.0,8.6,19.7,189,2024,1,1,winter,Healthy
2024-01-08,Maharashtra,Mumbai,32.9,14.4,51.9,9.4,29.2,251,2024,1,2,winter,Healthy
2024-01-08,Delhi,Delhi,34.7,15.75,60.7,21.1,16.8,266,2024,1,2,winter,Mild Stress
2024-01-08,Karnataka,Bengaluru,40.4,7.4,34.3,5.2,24.2,90,2024,1,2,winter,Healthy
2024-01-08,Tamil Nadu,Chennai,21.7,15.75,73.2,11.0,46.7,156,2024,1,2,winter,Healthy
2024-01-08,West Bengal,Kolkata,30.2,15.75,78.6,10.8,91.1,233,2024,1,2,winter,Healthy
2024-01-08,Telangana,Hyderabad,20.1,3.4,70.8,16.3,89.9,284,2024,1,2,winter,Healthy
2024-01-08,Gujarat,Ahmedabad,24.0,0.0,46.2,19.5,37.5,294,2024,1,2,winter,Mild Stress
2024-01-08,Rajasthan,Jaipur,20.5,0.0,38.3,7.3,73.4,238,2024,1,2,winter,Mild Stress
2024-01-08,Uttar Pradesh,Lucknow,33.7,15.75,46.4,15.4,48.9,333,2024,1,2,winter,Healthy
2024-01-08,Madhya Pradesh,Bhopal,22.6,11.3,62.9,23.4,71.2,325,2024,1,2,winter,Healthy
2024-01-09,Maharashtra,Mumbai,35.9,6.1,67.5,23.5,47.8,75,2024,1,2,winter,Mild Stress
2024-01-09,Delhi,Delhi,38.0,0.0,38.1,15.6,10.2,143,2024,1,2,winter,Severe Stress
2024-01-09,Karnataka,Bengaluru,38.5,15.75,51.7,10.0,75.1,180,2024,1,2,winter,Healthy
2024-01-09,Tamil Nadu,Chennai,24.7,0.0,39.2,23.0,60.2,236,2024,1,2,winter,Mild Stress
2024-01-09,West Bengal,Kolkata,19.4,0.0,41.6,4.0,52.7,224,2024,1,2,winter,Mild Stress
2024-01-09,Telangana,Hyderabad,20.1,0.0,43.6,2.8,58.7,60,2024,1,2,winter,Healthy
2024-01-09,Gujarat,Ahmedabad,35.7,0.0,64.1,5.6,86.9,333,2024,1,2,winter,Severe Stress
2024-01-09,Rajasthan,Jaipur,28.6,0.0,71.9,18.5,7.6,108,2024,1,2,winter,Mild Stress
2024-01-09,Uttar Pradesh,Lucknow,23.8,0.0,31.3,17.0,14.4,115,2024,1,2,winter,Mild Stress
2024-01-09,Madhya Pradesh,Bhopal,32.7,0.0,84.0,8.7,6.2,66,2024,1,2,winter,Mild Stress
2024-01-10,Maharashtra,Mumbai,26.5,15.75,41.8,20.8,29.6,157,2024,1,2,winter,Healthy
2024-01-10,Delhi,Delhi,33.0,0.0,70.6,8.8,77.5,83,2024,1,2,winter,Mild Stress
2024-01-10,Karnataka,Bengaluru,37.4,0.0,88.1,8.2,65.2,119,2024,1,2,winter,Severe Stress
2024-01-10,Tamil Nadu,Chennai,21.1,0.0,94.0,2.4,16.2,218,2024,1,2,winter,Severe Stress
2024-01-10,West Bengal,Kolkata,25.2,0.0,72.3,5.1,88.0,225,2024,1,2,winter,Mild Stress
2024-01-10,Telangana,Hyderabad,31.2,0.0,41.4,13.9,20.8,268,2024,1,2,winter,Mild Stress
2024-01-10,Gujarat,Ahmedabad,21.1,0.0,45.9,18.5,58.8,187,2024,1,2,winter,Healthy
2024-01-10,Rajasthan,Jaipur,31.1,0.0,77.6,15.7,52.2,225,2024,1,2,winter,Mild Stress
2024-01-10,Uttar Pradesh,Lucknow,25.3,0.0,36.9,17.8,28.4,293,2024,1,2,winter,Mild Stress
2024-01-10,Madhya Pradesh,Bhopal,35.0,0.0,47.7,23.1,95.3,178,2024,1,2,winter,Mild Stress
2024-01-11,Maharashtra,Mumbai,23.5,7.3,86.7,17.9,28.7,191,2024,1,2,winter,Healthy
2024-01-11,Delhi,Delhi,22.0,15.75,91.4,6.2,92.0,50,2024,1,2,winter,Healthy
2024-01-11,Karnataka,Bengaluru,35.0,0.0,90.1,21.8,35.3,296,2024,1,2,winter,Severe Stress
2024-01-11,Tamil Nadu,Chennai,20.3,1.3,45.0,9.8,11.2,137,2024,1,2,winter,Healthy
2024-01-11,West Bengal,Kolkata,29.3,6.3,50.7,7.4,87.7,46,2024,1,2,winter,Healthy
2024-01-11,Telangana,Hyderabad,37.3,0.0,91.0,19.6,50.6,234,2024,1,2,winter,Severe Stress
2024-01-11,Gujarat,Ahmedabad,35.1,4.2,79.9,7.5,38.7,129,2024,1,2,winter,Healthy
2024-01-11,Rajasthan,Jaipur,27.3,0.0,32.7,10.8,25.7,334,2024,1,2,winter,Mild Stress
2024-01-11,Uttar Pradesh,Lucknow,37.8,0.0,57.1,16.1,99.2,111,2024,1,2,winter,Mild Stress
2024-01-11,Madhya Pradesh,Bhopal,38.1,0.0,69.5,7.1,79.1,148,2024,1,2,winter,Mild Stress
2024-01-12,Maharashtra,Mumbai,18.8,0.0,87.4,11.1,71.1,87,2024,1,2,winter,Mild Stress
2024-01-12,Delhi,Delhi,37.7,0.0,44.5,4.1,30.2,80,2024,1,2,winter,Mild Stress
2024-01-12,Karnataka,Bengaluru,35.5,0.0,86.0,4.0,40.4,120,2024,1,2,winter,Severe Stress
2024-01-12,Tamil Nadu,Chennai,34.5,0.0,35.3,21.6,50.7,223,2024,1,2,winter,Severe Stress
2024-01-12,West Bengal,Kolkata,37.3,15.75,74.1,20.3,85.8,308,2024,1,2,winter,Mild Stress
2024-01-12,Telangana,Hyderabad,32.5,6.8,75.3,5.6,87.8,49,2024,1,2,winter,Healthy
2024-01-12,Gujarat,Ahmedabad,38.4,7.5,51.8,21.1,5.6,128,2024,1,2,winter,Mild Stress
2024-01-12,Rajasthan,Jaipur,29.9,0.0,71.1,19.9,77.3,207,2024,1,2,winter,Mild Stress
2024-01-12,Uttar Pradesh,Lucknow,40.1,15.75,71.1,17.8,33.6,259,2024,1,2,winter,Mild Stress
2024-01-12,Madhya Pradesh,Bhopal,20.9,13.2,52.5,24.4,76.2,80,2024,1,2,winter,Healthy
2024-01-13,Maharashtra,Mumbai,37.5,3.3,31.4,17.7,31.0,349,2024,1,2,winter,Mild Stress
2024-01-13,Delhi,Delhi,28.8,0.0,40.6,3.9,67.2,124,2024,1,2,winter,Healthy
2024-01-13,Karnataka,Bengaluru,40.8,9.4,58.1,11.1,98.5,166,2024,1,2,winter,Healthy
2024-01-13,Tamil Nadu,Chennai,39.2,0.0,43.9,21.9,97.0,97,2024,1,2,winter,Severe Stress
2024-01-13,West Bengal,Kolkata,36.0,8.5,80.1,5.0,92.5,231,2024,1,2,winter,Mild Stress
2024-01-13,Telangana,Hyderabad,36.0,0.0,37.6,6.6,11.1,220,2024,1,2,winter,Severe Stress
2024-01-13,Gujarat,Ahmedabad,23.9,0.0,50.2,11.0,62.0,130,2024,1,2,winter,Healthy
2024-01-13,Rajasthan,Jaipur,32.1,0.0,80.7,7.6,18.5,194,2024,1,2,winter,Mild Stress
2024-01-13,Uttar Pradesh,Lucknow,31.4,0.0,66.4,4.0,8.2,64,2024,1,2,winter,Mild Stress
2024-01-13,Madhya Pradesh,Bhopal,29.8,0.0,66.9,5.9,65.5,259,2024,1,2,winter,Mild Stress
2024-01-14,Maharashtra,Mumbai,18.5,15.75,33.4,18.4,37.2,292,2024,1,2,winter,Healthy
2024-01-14,Delhi,Delhi,19.6,8.2,65.6,14.1,12.8,58,2024,1,2,winter,Healthy
2024-01-14,Karnataka,Bengaluru,26.6,0.0,86.7,6.2,67.6,194,2024,1,2,winter,Mild Stress
2024-01-14,Tamil Nadu,Chennai,30.0,10.0,44.8,6.6,11.9,49,2024,1,2,winter,Healthy
2024-01-14,West Bengal,Kolkata,25.3,0.0,86.4,10.0,98.8,52,2024,1,2,winter,Mild Stress
2024-01-14,Telangana,Hyderabad,36.9,15.75,58.5,22.7,31.3,223,2024,1,2,winter,Mild Stress
2024-01-14,Gujarat,Ahmedabad,39.7,0.0,70.5,18.5,22.1,113,2024,1,2,winter,Mild Stress
2024-01-14,Rajasthan,Jaipur,41.0,15.75,85.5,12.2,39.1,223,2024,1,2,winter,Severe Stress
2024-01-14,Uttar Pradesh,Lucknow,23.8,0.0,93.0,19.8,97.1,180,2024,1,2,winter,Mild Stress
2024-01-14,Madhya Pradesh,Bhopal,26.9,5.2,41.0,11.9,63.6,259,2024,1,2,winter,Healthy
2024-01-15,Maharashtra,Mumbai,25.0,0.0,32.4,21.4,60.6,309,2024,1,3,winter,Mild Stress
2024-01-15,Delhi,Delhi,26.1,15.75,47.5,2.9,48.0,329,2024,1,3,winter,Healthy
2024-01-15,Karnataka,Bengaluru,26.3,15.75,32.7,2.1,65.7,309,2024,1,3,winter,Healthy
2024-01-15,Tamil Nadu,Chennai,29.0,0.0,61.8,9.1,24.2,248,2024,1,3,winter,Mild Stress
2024-01-15,West Bengal,Kolkata,41.4,0.0,73.7,17.9,94.7,251,2024,1,3,winter,Severe Stress
2024-01-15,Telangana,Hyderabad,29.4,12.1,86.5,17.9,25.5,244,2024,1,3,winter,Mild Stress
2024-01-15,Gujarat,Ahmedabad,27.1,0.0,36.9,24.5,87.7,282,2024,1,3,winter,Mild Stress
2024-01-15,Rajasthan,Jaipur,30.1,4.1,87.1,20.6,80.8,175,2024,1,3,winter,Mild Stress
2024-01-15,Uttar Pradesh,Lucknow,38.3,0.0,65.4,11.1,41.9,179,2024,1,3,winter,Mild Stress
2024-01-15,Madhya Pradesh,Bhopal,25.4,0.8,44.8,16.2,41.1,307,2024,1,3,winter,Healthy
2024-01-16,Maharashtra,Mumbai,30.5,0.0,31.7,15.3,62.8,277,2024,1,3,winter,Mild Stress
2024-01-16,Delhi,Delhi,35.2,0.0,92.1,16.9,28.1,327,2024,1,3,winter,Severe Stress
2024-01-16,Karnataka,Bengaluru,19.0,0.0,52.9,8.6,81.3,207,2024,1,3,winter,Mild Stress
2024-01-16,Tamil Nadu,Chennai,25.7,0.0,76.5,6.2,22.2,202,2024,1,3,winter,Mild Stress
2024-01-16,West Bengal,Kolkata,36.1,0.0,66.9,20.5,9.1,236,2024,1,3,winter,Severe Stress
2024-01-16,Telangana,Hyderabad,38.5,0.0,83.2,16.1,84.8,319,2024,1,3,winter,Severe Stress
2024-01-16,Gujarat,Ahmedabad,28.4,0.0,80.7,17.4,64.3,180,2024,1,3,winter,Healthy
2024-01-16,Rajasthan,Jaipur,33.4,0.0,77.9,2.5,62.7,209,2024,1,3,winter,Mild Stress
2024-01-16,Uttar Pradesh,Lucknow,25.2,0.0,68.6,18.0,45.7,262,2024,1,3,winter,Mild Stress
2024-01-16,Madhya Pradesh,Bhopal,31.4,0.0,38.3,8.3,13.1,317,2024,1,3,winter,Severe Stress
2024-01-17,Maharashtra,Mumbai,24.7,0.0,44.7,3.6,27.2,207,2024,1,3,winter,Mild Stress
2024-01-17,Delhi,Delhi,36.8,3.3,64.6,24.9,58.0,266,2024,1,3,winter,Mild Stress
2024-01-17,Karnataka,Bengaluru,31.5,9.6,66.5,6.6,14.2,179,2024,1,3,winter,Healthy
2024-01-17,Tamil Nadu,Chennai,35.9,0.0,73.2,11.2,99.3,327,2024,1,3,winter,Severe Stress
2024-01-17,West Bengal,Kolkata,29.1,6.3,63.9,4.9,79.3,259,2024,1,3,winter,Healthy
2024-01-17,Telangana,Hyderabad,21.7,15.75,47.1,14.7,42.7,178,2024,1,3,winter,Healthy
2024-01-17,Gujarat,Ahmedabad,31.9,15.75,89.8,6.8,16.1,293,2024,1,3,winter,Severe Stress
2024-01-17,Rajasthan,Jaipur,25.7,0.0,86.4,3.9,21.5,255,2024,1,3,winter,Severe Stress
2024-01-17,Uttar Pradesh,Lucknow,24.5,15.75,71.7,23.2,62.6,277,2024,1,3,winter,Healthy
2024-01-17,Madhya Pradesh,Bhopal,23.5,0.0,55.9,2.6,96.5,210,2024,1,3,winter,Mild Stress
2024-01-18,Maharashtra,Mumbai,39.7,0.0,50.3,16.7,63.9,241,2024,1,3,winter,Severe Stress
2024-01-18,Delhi,Delhi,25.2,14.1,80.7,3.3,98.4,114,2024,1,3,winter,Healthy
2024-01-18,Karnataka,Bengaluru,24.7,0.0,49.7,13.7,82.3,230,2024,1,3,winter,Mild Stress
2024-01-18,Tamil Nadu,Chennai,25.5,15.75,64.3,12.3,39.9,168,2024,1,3,winter,Healthy
2024-01-18,West Bengal,Kolkata,35.4,0.0,80.0,2.4,77.2,82,2024,1,3,winter,Mild Stress
2024-01-18,Telangana,Hyderabad,32.1,2.5,30.8,24.1,15.4,209,2024,1,3,winter,Mild Stress
2024-01-18,Gujarat,Ahmedabad,27.4,0.0,36.4,19.0,40.7,162,2024,1,3,winter,Healthy
2024-01-18,Rajasthan,Jaipur,27.8,0.0,88.0,17.8,29.2,300,2024,1,3,winter,Severe Stress
2024-01-18,Uttar Pradesh,Lucknow,18.8,15.75,60.0,16.6,11.3,200,2024,1,3,winter,Healthy
2024-01-18,Madhya Pradesh,Bhopal,21.8,0.0,63.3,18.5,11.8,43,2024,1,3,winter,Mild Stress
2024-01-19,Maharashtra,Mumbai,37.9,3.0,53.0,17.2,21.5,70,2024,1,3,winter,Healthy
2024-01-19,Delhi,Delhi,31.9,15.75,47.2,8.8,64.3,158,2024,1,3,winter,Healthy
2024-01-19,Karnataka,Bengaluru,26.0,0.0,70.0,3.0,80.9,130,2024,1,3,winter,Healthy
2024-01-19,Tamil Nadu,Chennai,39.1,7.5,67.9,4.9,93.2,109,2024,1,3,winter,Healthy
2024-01-19,West Bengal,Kolkata,27.8,0.0,58.6,4.8,89.3,240,2024,1,3,winter,Mild Stress
2024-01-19,Telangana,Hyderabad,24.1,0.0,86.0,19.4,85.0,265,2024,1,3,winter,Severe Stress
2024-01-19,Gujarat,Ahmedabad,34.7,15.75,41.5,3.0,17.5,265,2024,1,3,winter,Mild Stress
2024-01-19,Rajasthan,Jaipur,37.8,0.0,62.9,15.6,33.3,215,2024,1,3,winter,Severe Stress
2024-01-19,Uttar Pradesh,Lucknow,31.9,0.0,71.4,2.2,74.0,347,2024,1,3,winter,Mild Stress
2024-01-19,Madhya Pradesh,Bhopal,22.5,2.1,82.0,16.2,38.8,282,2024,1,3,winter,Healthy
2024-01-20,Maharashtra,Mumbai,33.6,0.0,79.5,24.0,36.1,86,2024,1,3,winter,Mild Stress
2024-01-20,Delhi,Delhi,24.2,3.7,94.8,22.4,42.2,167,2024,1,3,winter,Mild Stress
2024-01-20,Karnataka,Bengaluru,36.4,0.0,70.3,15.5,66.0,60,2024,1,3,winter,Mild Stress
2024-01-20,Tamil Nadu,Chennai,31.3,6.1,66.4,8.2,52.3,63,2024,1,3,winter,Healthy
2024-01-20,West Bengal,Kolkata,22.0,0.0,81.0,12.1,36.2,174,2024,1,3,winter,Healthy
2024-01-20,Telangana,Hyderabad,23.2,15.75,68.9,16.8,65.4,283,2024,1,3,winter,Healthy
2024-01-20,Gujarat,Ahmedabad,22.8,0.0,84.6,6.2,36.8,48,2024,1,3,winter,Healthy
2024-01-20,Rajasthan,Jaipur,18.8,15.75,47.7,8.0,87.9,300,2024,1,3,winter,Healthy
2024-01-20,Uttar Pradesh,Lucknow,22.2,0.0,59.8,18.7,46.5,266,2024,1,3,winter,Mild Stress
2024-01-20,Madhya Pradesh,Bhopal,37.0,1.4,69.7,24.0,10.4,127,2024,1,3,winter,Mild Stress
2024-01-21,Maharashtra,Mumbai,26.5,2.6,88.9,12.3,11.2,191,2024,1,3,winter,Mild Stress
2024-01-21,Delhi,Delhi,22.9,0.0,88.9,10.0,7.1,245,2024,1,3,winter,Severe Stress
2024-01-21,Karnataka,Bengaluru,39.0,0.0,90.9,18.8,29.4,242,2024,1,3,winter,Severe Stress
2024-01-21,Tamil Nadu,Chennai,23.6,0.0,60.2,4.6,26.4,117,2024,1,3,winter,Healthy
2024-01-21,West Bengal,Kolkata,36.7,1.2,64.0,3.6,56.6,65,2024,1,3,winter,Healthy
2024-01-21,Telangana,Hyderabad,29.2,9.5,40.8,12.6,66.8,209,2024,1,3,winter,Healthy
2024-01-21,Gujarat,Ahmedabad,21.2,4.6,82.4,6.6,20.6,142,2024,1,3,winter,Healthy
2024-01-21,Rajasthan,Jaipur,35.0,15.75,43.3,7.5,98.6,279,2024,1,3,winter,Healthy
2024-01-21,Uttar Pradesh,Lucknow,22.7,0.0,60.2,4.4,83.1,157,2024,1,3,winter,Healthy
2024-01-21,Madhya Pradesh,Bhopal,33.2,5.3,43.2,15.3,80.8,162,2024,1,3,winter,Healthy
2024-01-22,Maharashtra,Mumbai,38.1,0.0,40.3,21.7,31.3,344,2024,1,4,winter,Severe Stress
2024-01-22,Delhi,Delhi,24.3,0.0,42.0,12.1,12.9,313,2024,1,4,winter,Mild Stress
2024-01-22,Karnataka,Bengaluru,36.0,4.2,92.9,16.6,88.8,172,2024,1,4,winter,Mild Stress
2024-01-22,Tamil Nadu,Chennai,25.7,15.75,66.4,3.8,22.8,306,2024,1,4,winter,Healthy
2024-01-22,West Bengal,Kolkata,36.2,3.2,76.2,12.6,52.0,296,2024,1,4,winter,Mild Stress
2024-01-22,Telangana,Hyderabad,28.3,0.0,76.3,5.3,47.8,272,2024,1,4,winter,Mild Stress
2024-01-22,Gujarat,Ahmedabad,32.4,15.75,52.9,16.6,69.2,140,2024,1,4,winter,Healthy
2024-01-22,Rajasthan,Jaipur,35.9,8.6,41.4,8.4,70.9,198,2024,1,4,winter,Healthy
2024-01-22,Uttar Pradesh,Lucknow,27.5,15.75,32.2,22.0,79.9,246,2024,1,4,winter,Healthy
2024-01-22,Madhya Pradesh,Bhopal,23.2,0.0,73.6,12.6,56.9,157,2024,1,4,winter,Healthy
2024-01-23,Maharashtra,Mumbai,41.5,15.75,57.5,8.4,32.8,322,2024,1,4,winter,Mild Stress
2024-01-23,Delhi,Delhi,33.6,0.0,31.2,21.1,87.9,74,2024,1,4,winter,Mild Stress
2024-01-23,Karnataka,Bengaluru,33.9,0.0,36.3,8.9,33.2,132,2024,1,4,winter,Mild Stress
2024-01-23,Tamil Nadu,Chennai,37.1,0.0,88.7,22.5,12.5,114,2024,1,4,winter,Severe Stress
2024-01-23,West Bengal,Kolkata,38.2,0.0,67.9,3.5,61.9,75,2024,1,4,winter,Mild Stress
2024-01-23,Telangana,Hyderabad,19.8,0.0,73.5,13.9,35.1,174,2024,1,4,winter,Healthy
2024-01-23,Gujarat,Ahmedabad,35.0,4.5,88.0,15.6,27.6,198,2024,1,4,winter,Mild Stress
2024-01-23,Rajasthan,Jaipur,22.7,6.6,61.7,19.1,65.2,61,2024,1,4,winter,Healthy
2024-01-23,Uttar Pradesh,Lucknow,25.8,0.0,60.7,24.3,50.8,100,2024,1,4,winter,Mild Stress
2024-01-23,Madhya Pradesh,Bhopal,33.3,0.0,43.5,7.0,15.3,145,2024,1,4,winter,Mild Stress
2024-01-24,Maharashtra,Mumbai,35.7,0.0,63.3,4.0,15.8,147,2024,1,4,winter,Severe Stress
2024-01-24,Delhi,Delhi,28.3,0.0,62.1,8.3,45.1,167,2024,1,4,winter,Healthy
2024-01-24,Karnataka,Bengaluru,37.1,15.75,69.5,20.9,65.5,55,2024,1,4,winter,Mild Stress
2024-01-24,Tamil Nadu,Chennai,27.4,0.0,69.2,12.5,16.5,169,2024,1,4,winter,Mild Stress
2024-01-24,West Bengal,Kolkata,37.2,3.6,35.2,17.6,61.4,43,2024,1,4,winter,Healthy
2024-01-24,Telangana,Hyderabad,30.7,0.0,69.8,22.8,55.7,84,2024,1,4,winter,Mild Stress
2024-01-24,Gujarat,Ahmedabad,20.6,0.0,49.2,4.8,37.6,266,2024,1,4,winter,Mild Stress
